timestamp,event,step,grpo_step,rollout/mean,rollout/std,rollout/max,rollout/min,reward_mean,reward_std,group_reward_variance_mean,advantage_mean,advantage_std,zero_variance_group_ratio,effective_group_ratio,rollout/effective_rollout_ratio,format_reward_mean,answer_reward_mean,rollout/answer_zero_variance_group_ratio,all_correct_group_ratio,all_wrong_group_ratio,mixed_group_ratio,generated_response_tokens,rollout/prompt_tokens,total_rollout_tokens,average_response_length,cumulative_generated_response_tokens,cumulative_rollout_tokens
1789654603.3607128,rollout,62,63,0.8921874761581421,0.4153043329715729,1.100000023841858,0.0,0.8921874761581421,0.4153043329715729,0.14216797053813934,8.009374141693115e-08,0.8164947628974915,0.25,0.75,0.75,0.953125,0.796875,0.25,0.25,0.0,0.75,22788,3624,26412,356.0625,1445224,1680808
1789654613.1563337,rollout,63,64,1.037500023841858,0.24397502839565277,1.100000023841858,0.10000000149011612,1.037500023841858,0.24397502839565277,0.0429687537252903,3.3527612686157227e-08,0.4714033901691437,0.75,0.25,0.25,1.0,0.9375,0.75,0.75,0.0,0.25,20390,2896,23286,318.59375,1465614,1704094
1789654622.0369265,rollout,64,65,0.8328125476837158,0.4670252799987793,1.100000023841858,0.0,0.8328125476837158,0.4670252799987793,0.0847461000084877,2.9802322387695312e-08,0.5773491263389587,0.625,0.375,0.375,0.828125,0.75,0.625,0.5,0.125,0.375,23912,4168,28080,373.625,1489526,1732174
1789654631.0261576,rollout,65,66,0.8765625357627869,0.4260345697402954,1.100000023841858,0.0,0.8765625357627869,0.4260345697402954,0.13201172649860382,6.705522537231445e-08,0.745354413986206,0.375,0.625,0.625,0.953125,0.78125,0.375,0.375,0.0,0.625,22686,3976,26662,354.46875,1512212,1758836
1789654640.0556724,rollout,66,67,1.068750023841858,0.17536810040473938,1.100000023841858,0.10000000149011612,1.068750023841858,0.17536810040473938,0.02343750186264515,1.4901161193847656e-08,0.3333325982093811,0.875,0.125,0.125,1.0,0.96875,0.875,0.875,0.0,0.125,23471,3944,27415,366.734375,1535683,1786251
1789654649.0195284,rollout,67,68,0.9593749642372131,0.3503824472427368,1.100000023841858,0.10000000149011612,0.9593749642372131,0.3503824472427368,0.0410156287252903,4.7031790018081665e-08,0.5773486495018005,0.625,0.375,0.375,1.0,0.859375,0.625,0.625,0.0,0.375,22476,3488,25964,351.1875,1558159,1812215
1789654657.703994,rollout,68,69,0.8937499523162842,0.4120698869228363,1.100000023841858,0.0,0.8937499523162842,0.4120698869228363,0.04515625163912773,1.862645149230957e-08,0.5773452520370483,0.625,0.375,0.375,0.96875,0.796875,0.75,0.625,0.125,0.25,21289,3112,24401,332.640625,1579448,1836616
1789654666.5493052,rollout,69,70,0.948437511920929,0.3779611885547638,1.100000023841858,0.0,0.948437511920929,0.3779611885547638,0.08341797441244125,2.2351741790771484e-08,0.5773490071296692,0.625,0.375,0.375,0.890625,0.859375,0.625,0.625,0.0,0.375,22623,3480,26103,353.484375,1602071,1862719
1789654684.430414,rollout,70,71,0.6328125596046448,0.5348355770111084,1.100000023841858,0.0,0.6328125596046448,0.5348355770111084,0.09810546785593033,3.725290298461914e-08,0.8164895176887512,0.25,0.75,0.75,0.703125,0.5625,0.5,0.25,0.25,0.5,26741,4768,31509,417.828125,1628812,1894228
1789654693.8410792,rollout,71,72,0.8187500238418579,0.4720354676246643,1.100000023841858,0.0,0.8187500238418579,0.4720354676246643,0.08605469763278961,2.2351741790771484e-08,0.6666623950004578,0.5,0.5,0.5,0.84375,0.734375,0.625,0.5,0.125,0.375,24327,3688,28015,380.109375,1653139,1922243
